epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,7085.16,1.43978,1.23625,0.00582,0.71307,0.65105,0.71044,0.41784,1.3579,1.09146,0.00633,0.0007087,0.0007087,0.0007087
75,7177.78,1.43084,1.24868,0.00579,0.71418,0.63243,0.70309,0.40726,1.36356,1.12165,0.00647,0.000701588,0.000701588,0.000701588
76,7273,1.42202,1.25017,0.00585,0.6776,0.66426,0.69927,0.40742,1.32928,1.12982,0.00617,0.000694428,0.000694428,0.000694428
77,7368.67,1.4347,1.22223,0.00559,0.71222,0.64985,0.71217,0.42013,1.3238,1.11839,0.00618,0.000687222,0.000687222,0.000687222
78,7462.37,1.42044,1.22872,0.00566,0.6945,0.64172,0.70178,0.41263,1.33272,1.11626,0.00633,0.00067997,0.00067997,0.00067997
79,7558.21,1.43132,1.23226,0.00575,0.70866,0.64864,0.71616,0.42081,1.32387,1.10021,0.00606,0.000672675,0.000672675,0.000672675
80,7653.2,1.41107,1.22215,0.00556,0.70196,0.65072,0.70931,0.41466,1.32684,1.12449,0.0063,0.000665339,0.000665339,0.000665339
81,7747.98,1.41169,1.24648,0.00558,0.71272,0.64444,0.7124,0.41519,1.33068,1.11671,0.0063,0.000657963,0.000657963,0.000657963
82,7842.52,1.40527,1.21941,0.00547,0.70428,0.6451,0.71507,0.42519,1.32205,1.08983,0.00626,0.00065055,0.00065055,0.00065055
83,7937.83,1.40807,1.22192,0.0054,0.70975,0.65646,0.72111,0.42425,1.3318,1.09805,0.00642,0.000643101,0.000643101,0.000643101
84,8033.81,1.41638,1.22637,0.00573,0.70687,0.65405,0.71415,0.42493,1.33563,1.081,0.00629,0.000635617,0.000635617,0.000635617
85,8127.67,1.39751,1.20291,0.00557,0.71772,0.67688,0.73398,0.43224,1.3318,1.0587,0.00624,0.000628101,0.000628101,0.000628101
86,8222.46,1.40026,1.2124,0.00535,0.69704,0.66967,0.72089,0.42978,1.30819,1.09549,0.00596,0.000620555,0.000620555,0.000620555
87,8315.1,1.41153,1.21274,0.00557,0.70174,0.65586,0.7135,0.42285,1.33861,1.07946,0.00619,0.000612981,0.000612981,0.000612981
88,8406.26,1.40493,1.24001,0.00556,0.70849,0.66006,0.7255,0.42027,1.32763,1.09672,0.00615,0.00060538,0.00060538,0.00060538
89,8498.21,1.40703,1.20099,0.00563,0.71792,0.65118,0.72365,0.43174,1.32279,1.07996,0.00612,0.000597754,0.000597754,0.000597754
90,8589.63,1.38649,1.21476,0.0055,0.70972,0.65586,0.71809,0.42751,1.325,1.08758,0.00609,0.000590105,0.000590105,0.000590105
91,8681.27,1.38083,1.21927,0.00542,0.69483,0.66246,0.71986,0.42617,1.30645,1.08713,0.00593,0.000582435,0.000582435,0.000582435
92,8772.85,1.3765,1.18421,0.00514,0.69911,0.66842,0.71997,0.43352,1.29516,1.08225,0.00583,0.000574746,0.000574746,0.000574746
93,8865,1.38513,1.18452,0.00545,0.71051,0.6486,0.72799,0.43717,1.28658,1.06637,0.00573,0.00056704,0.00056704,0.00056704
94,8957.74,1.39274,1.18752,0.0054,0.73382,0.63904,0.73125,0.43343,1.29879,1.0609,0.00584,0.000559318,0.000559318,0.000559318
95,9049,1.39391,1.17509,0.00532,0.72557,0.66126,0.72574,0.43554,1.29231,1.07637,0.00579,0.000551584,0.000551584,0.000551584
96,9141.71,1.37789,1.1788,0.00539,0.7306,0.65225,0.73423,0.44048,1.2985,1.05504,0.00582,0.000543837,0.000543837,0.000543837
97,9236.45,1.38119,1.18336,0.00534,0.73254,0.67027,0.73785,0.44478,1.29846,1.02998,0.00584,0.000536081,0.000536081,0.000536081
98,9330.72,1.38703,1.19582,0.00531,0.73061,0.65586,0.73867,0.44468,1.27854,1.04546,0.00565,0.000528318,0.000528318,0.000528318
99,40784,1.37509,1.19224,0.00529,0.72379,0.67748,0.73239,0.43861,1.27766,1.06121,0.00577,0.000520548,0.000520548,0.000520548
100,40880.3,1.38582,1.19807,0.00532,0.73964,0.6637,0.74279,0.44707,1.28639,1.04561,0.00569,0.000512775,0.000512775,0.000512775
101,40973.5,1.3708,1.17496,0.00535,0.72125,0.67027,0.73748,0.44423,1.29382,1.04842,0.00588,0.000505,0.000505,0.000505
102,41064.3,1.3824,1.16344,0.00531,0.75962,0.66607,0.74703,0.44649,1.26714,1.05324,0.00563,0.000497225,0.000497225,0.000497225
103,41156.9,1.35044,1.16878,0.00514,0.7456,0.67447,0.7477,0.4571,1.26441,1.0284,0.00561,0.000489452,0.000489452,0.000489452
104,41248,1.3633,1.1552,0.00511,0.74738,0.67808,0.74614,0.45141,1.27369,1.02961,0.00565,0.000481682,0.000481682,0.000481682
105,41338.7,1.36761,1.15963,0.00519,0.7118,0.68168,0.74078,0.44753,1.28779,1.03405,0.00576,0.000473919,0.000473919,0.000473919
106,41430.7,1.36882,1.15568,0.00514,0.72265,0.67868,0.74843,0.45695,1.28102,1.03346,0.00566,0.000466163,0.000466163,0.000466163
107,41521.2,1.36048,1.14033,0.00524,0.74671,0.69369,0.75645,0.45983,1.27681,1.01496,0.00567,0.000458416,0.000458416,0.000458416
108,41611.7,1.36617,1.16915,0.0052,0.74812,0.66894,0.75067,0.45094,1.28466,1.03426,0.00581,0.000450682,0.000450682,0.000450682
109,41702.5,1.36219,1.14476,0.00515,0.75322,0.66726,0.75531,0.4591,1.2752,1.01903,0.00566,0.00044296,0.00044296,0.00044296
110,41793,1.34908,1.14109,0.0051,0.7501,0.68769,0.75273,0.45922,1.26537,1.01006,0.00567,0.000435254,0.000435254,0.000435254
111,41883.7,1.34715,1.13305,0.00505,0.72515,0.70198,0.7555,0.45818,1.27154,1.00486,0.00569,0.000427565,0.000427565,0.000427565
112,41973.9,1.35891,1.14949,0.00513,0.74299,0.69069,0.7622,0.46346,1.26977,0.99637,0.00565,0.000419895,0.000419895,0.000419895
113,42064.2,1.35666,1.13695,0.00508,0.74365,0.68048,0.75859,0.46682,1.27186,0.99901,0.00562,0.000412246,0.000412246,0.000412246
114,42154.8,1.3377,1.12894,0.00503,0.73648,0.68769,0.76198,0.46775,1.26802,0.99081,0.00559,0.00040462,0.00040462,0.00040462
115,42245.1,1.35262,1.13896,0.00517,0.74121,0.6979,0.7672,0.46967,1.26296,0.9823,0.00553,0.000397019,0.000397019,0.000397019
116,42335.5,1.35179,1.11215,0.00505,0.74283,0.69913,0.7729,0.47447,1.26565,0.97634,0.00556,0.000389445,0.000389445,0.000389445
117,42425.9,1.34342,1.12306,0.0051,0.76207,0.6961,0.77136,0.47461,1.26475,0.98291,0.00566,0.000381899,0.000381899,0.000381899
118,42516.7,1.34413,1.12454,0.00494,0.76849,0.67868,0.76769,0.47198,1.25332,0.98432,0.00552,0.000374383,0.000374383,0.000374383
119,42607.5,1.34022,1.12593,0.00507,0.75856,0.69429,0.76855,0.47224,1.24995,0.98845,0.00547,0.000366899,0.000366899,0.000366899
120,42698.3,1.33674,1.11544,0.00502,0.76132,0.68829,0.76868,0.47601,1.24792,0.97779,0.00545,0.00035945,0.00035945,0.00035945
121,42789.2,1.34752,1.12073,0.00495,0.74886,0.70562,0.7735,0.47616,1.25489,0.9723,0.00545,0.000352037,0.000352037,0.000352037
122,42885.2,1.32468,1.10341,0.00493,0.76316,0.68769,0.77537,0.4828,1.25567,0.96336,0.00546,0.000344661,0.000344661,0.000344661
123,42976.5,1.33413,1.12679,0.00506,0.75859,0.70751,0.78379,0.48587,1.24327,0.96915,0.00545,0.000337325,0.000337325,0.000337325
124,43067.4,1.32479,1.10935,0.00493,0.7614,0.71679,0.78633,0.48764,1.24853,0.95153,0.00551,0.00033003,0.00033003,0.00033003
125,43157.7,1.3158,1.10082,0.00492,0.74936,0.70029,0.78001,0.48097,1.26172,0.95736,0.00561,0.000322778,0.000322778,0.000322778
126,43248.6,1.32817,1.10456,0.00482,0.7356,0.7252,0.78309,0.48232,1.24759,0.96374,0.0055,0.000315572,0.000315572,0.000315572
127,43339.4,1.31984,1.09268,0.00483,0.72659,0.72793,0.78176,0.48178,1.25096,0.96365,0.00549,0.000308412,0.000308412,0.000308412
128,43430.1,1.31571,1.07204,0.00474,0.74052,0.71652,0.78117,0.48615,1.2428,0.96724,0.00535,0.0003013,0.0003013,0.0003013
129,43520.9,1.31183,1.08324,0.00481,0.75094,0.70991,0.78478,0.49152,1.23879,0.94603,0.00538,0.000294239,0.000294239,0.000294239
130,43611.9,1.31928,1.0773,0.00486,0.74667,0.72012,0.78841,0.49104,1.2487,0.94406,0.00542,0.00028723,0.00028723,0.00028723
131,43705.3,1.32319,1.08869,0.0048,0.7841,0.68949,0.78632,0.49354,1.2461,0.94008,0.00534,0.000280275,0.000280275,0.000280275
132,43797.5,1.30825,1.09592,0.00478,0.75375,0.71329,0.78536,0.49223,1.2484,0.93092,0.00536,0.000273375,0.000273375,0.000273375
133,43888.2,1.3133,1.08066,0.00479,0.74539,0.71739,0.78709,0.49371,1.25609,0.92856,0.00544,0.000266532,0.000266532,0.000266532
134,43979.1,1.3083,1.08049,0.00459,0.76073,0.71607,0.79377,0.49554,1.23652,0.9287,0.00529,0.000259748,0.000259748,0.000259748
135,44070.5,1.3047,1.06806,0.00468,0.76405,0.71471,0.80097,0.50359,1.23421,0.91976,0.00533,0.000253024,0.000253024,0.000253024
136,44161.4,1.29021,1.05693,0.00467,0.77446,0.71291,0.80399,0.5068,1.23416,0.92777,0.0053,0.000246363,0.000246363,0.000246363
137,44251.7,1.32446,1.06273,0.00482,0.77683,0.71501,0.80679,0.50863,1.23426,0.91602,0.00535,0.000239766,0.000239766,0.000239766
